...
| rollout/                |              |
|    explained_variance   | 0.356         |
|    learning_rate        | 0.0001        |
|    loss                 | -0.26         |
|    n_updates            | 19770         |
|    policy_gradient_loss | -0.000807     |
|    std                  | 44.9          |
|    value_loss           | 8.62e-07      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1979         |
|    time_elapsed         | 50775        |
|    total_timesteps      | 2849760      |
| train/                  |              |
|    approx_kl            | 0.0031412735 |
|    clip_fraction        | 0.011        |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.22        |
|    explained_variance   | 0.12         |
|    learning_rate        | 0.0001       |
|    loss                 | -0.261       |
|    n_updates            | 19780        |
|    policy_gradient_loss | -0.00368     |
|    std                  | 45.1         |
|    value_loss           | 9.2e-07      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1979         |
|    time_elapsed         | 50775        |
|    total_timesteps      | 2849760      |
| train/                  |              |
|    approx_kl            | 0.0031412735 |
|    clip_fraction        | 0.011        |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.22        |
|    explained_variance   | 0.12         |
|    learning_rate        | 0.0001       |
|    loss                 | -0.261       |
|    n_updates            | 19780        |
|    policy_gradient_loss | -0.00368     |
|    std                  | 45.1         |
|    value_loss           | 9.2e-07      |
------------------------------------------
Eval num_timesteps=2850000, episode_reward=-0.31 +/- 0.00
Episode length: 409512.00 +/- 0.00
------------------------------------------
| eval/                   |              |
|    mean_ep_length       | 4.1e+05      |
|    mean_reward          | -0.309       |
| time/                   |              |
|    total_timesteps      | 2850000      |
| train/                  |              |
|    approx_kl            | 0.0015907158 |
|    clip_fraction        | 0.00167      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.23        |
|    explained_variance   | 0.327        |
|    learning_rate        | 0.0001       |
|    loss                 | -0.265       |
|    n_updates            | 19790        |
|    policy_gradient_loss | -0.00207     |
|    std                  | 45.2         |
|    value_loss           | 1.16e-06     |
------------------------------------------
Eval num_timesteps=2850000, episode_reward=-0.31 +/- 0.00
Episode length: 409512.00 +/- 0.00
------------------------------------------
| eval/                   |              |
|    mean_ep_length       | 4.1e+05      |
|    mean_reward          | -0.309       |
| time/                   |              |
|    total_timesteps      | 2850000      |
| train/                  |              |
|    approx_kl            | 0.0015907158 |
|    clip_fraction        | 0.00167      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.23        |
|    explained_variance   | 0.327        |
|    learning_rate        | 0.0001       |
|    loss                 | -0.265       |
|    n_updates            | 19790        |
|    policy_gradient_loss | -0.00207     |
|    std                  | 45.2         |
|    value_loss           | 1.16e-06     |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.69e+06 |
|    ep_rew_mean     | -1.08    |
| time/              |          |
|    fps             | 55       |
|    iterations      | 1980     |
|    time_elapsed    | 50954    |
|    total_timesteps | 2851200  |
---------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.69e+06 |
|    ep_rew_mean     | -1.08    |
| time/              |          |
|    fps             | 55       |
|    iterations      | 1980     |
|    time_elapsed    | 50954    |
|    total_timesteps | 2851200  |
---------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1.69e+06      |
|    ep_rew_mean          | -1.08         |
| time/                   |               |
|    fps                  | 55            |
|    iterations           | 1981          |
|    time_elapsed         | 50954         |
|    total_timesteps      | 2852640       |
| train/                  |               |
|    approx_kl            | 0.00054103625 |
|    clip_fraction        | 0             |
|    clip_range           | 0.25          |
|    entropy_loss         | -5.23         |
|    explained_variance   | 0.0274        |
|    learning_rate        | 0.0001        |
|    loss                 | -0.266        |
|    n_updates            | 19800         |
|    policy_gradient_loss | -0.000885     |
|    std                  | 45.3          |
|    value_loss           | 1.13e-06      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1.69e+06      |
|    ep_rew_mean          | -1.08         |
| time/                   |               |
|    fps                  | 55            |
|    iterations           | 1981          |
|    time_elapsed         | 50954         |
|    total_timesteps      | 2852640       |
| train/                  |               |
|    approx_kl            | 0.00054103625 |
|    clip_fraction        | 0             |
|    clip_range           | 0.25          |
|    entropy_loss         | -5.23         |
|    explained_variance   | 0.0274        |
|    learning_rate        | 0.0001        |
|    loss                 | -0.266        |
|    n_updates            | 19800         |
|    policy_gradient_loss | -0.000885     |
|    std                  | 45.3          |
|    value_loss           | 1.13e-06      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1982         |
|    time_elapsed         | 50954        |
|    total_timesteps      | 2854080      |
| train/                  |              |
|    approx_kl            | 0.0012800143 |
|    clip_fraction        | 0.000208     |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.23        |
|    explained_variance   | 0.237        |
|    learning_rate        | 0.0001       |
|    loss                 | -0.265       |
|    n_updates            | 19810        |
|    policy_gradient_loss | -0.0018      |
|    std                  | 45.4         |
|    value_loss           | 9.66e-07     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1982         |
|    time_elapsed         | 50954        |
|    total_timesteps      | 2854080      |
| train/                  |              |
|    approx_kl            | 0.0012800143 |
|    clip_fraction        | 0.000208     |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.23        |
|    explained_variance   | 0.237        |
|    learning_rate        | 0.0001       |
|    loss                 | -0.265       |
|    n_updates            | 19810        |
|    policy_gradient_loss | -0.0018      |
|    std                  | 45.4         |
|    value_loss           | 9.66e-07     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1983         |
|    time_elapsed         | 50954        |
|    total_timesteps      | 2855520      |
| train/                  |              |
|    approx_kl            | 0.0026720702 |
|    clip_fraction        | 0.000417     |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.23        |
|    explained_variance   | -0.00209     |
|    learning_rate        | 0.0001       |
|    loss                 | -0.264       |
|    n_updates            | 19820        |
|    policy_gradient_loss | -0.00158     |
|    std                  | 45.4         |
|    value_loss           | 1.28e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1983         |
|    time_elapsed         | 50954        |
|    total_timesteps      | 2855520      |
| train/                  |              |
|    approx_kl            | 0.0026720702 |
|    clip_fraction        | 0.000417     |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.23        |
|    explained_variance   | -0.00209     |
|    learning_rate        | 0.0001       |
|    loss                 | -0.264       |
|    n_updates            | 19820        |
|    policy_gradient_loss | -0.00158     |
|    std                  | 45.4         |
|    value_loss           | 1.28e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1984         |
|    time_elapsed         | 50955        |
|    total_timesteps      | 2856960      |
| train/                  |              |
|    approx_kl            | 0.0010676043 |
|    clip_fraction        | 0.000625     |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.24        |
|    explained_variance   | 0.0295       |
|    learning_rate        | 0.0001       |
|    loss                 | -0.263       |
|    n_updates            | 19830        |
|    policy_gradient_loss | -0.000969    |
|    std                  | 45.5         |
|    value_loss           | 5.3e-07      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1984         |
|    time_elapsed         | 50955        |
|    total_timesteps      | 2856960      |
| train/                  |              |
|    approx_kl            | 0.0010676043 |
|    clip_fraction        | 0.000625     |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.24        |
|    explained_variance   | 0.0295       |
|    learning_rate        | 0.0001       |
|    loss                 | -0.263       |
|    n_updates            | 19830        |
|    policy_gradient_loss | -0.000969    |
|    std                  | 45.5         |
|    value_loss           | 5.3e-07      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1985         |
|    time_elapsed         | 50955        |
|    total_timesteps      | 2858400      |
| train/                  |              |
|    approx_kl            | 0.0014114642 |
|    clip_fraction        | 0.00104      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.24        |
|    explained_variance   | 0.401        |
|    learning_rate        | 0.0001       |
|    loss                 | -0.269       |
|    n_updates            | 19840        |
|    policy_gradient_loss | -0.0025      |
|    std                  | 45.6         |
|    value_loss           | 6.98e-07     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1985         |
|    time_elapsed         | 50955        |
|    total_timesteps      | 2858400      |
| train/                  |              |
|    approx_kl            | 0.0014114642 |
|    clip_fraction        | 0.00104      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.24        |
|    explained_variance   | 0.401        |
|    learning_rate        | 0.0001       |
|    loss                 | -0.269       |
|    n_updates            | 19840        |
|    policy_gradient_loss | -0.0025      |
|    std                  | 45.6         |
|    value_loss           | 6.98e-07     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1986         |
|    time_elapsed         | 50955        |
|    total_timesteps      | 2859840      |
| train/                  |              |
|    approx_kl            | 0.0059749978 |
|    clip_fraction        | 0.019        |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.24        |
|    explained_variance   | 0.0881       |
|    learning_rate        | 0.0001       |
|    loss                 | -0.266       |
|    n_updates            | 19850        |
|    policy_gradient_loss | -0.00517     |
|    std                  | 45.7         |
|    value_loss           | 2.4e-06      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1986         |
|    time_elapsed         | 50955        |
|    total_timesteps      | 2859840      |
| train/                  |              |
|    approx_kl            | 0.0059749978 |
|    clip_fraction        | 0.019        |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.24        |
|    explained_variance   | 0.0881       |
|    learning_rate        | 0.0001       |
|    loss                 | -0.266       |
|    n_updates            | 19850        |
|    policy_gradient_loss | -0.00517     |
|    std                  | 45.7         |
|    value_loss           | 2.4e-06      |
------------------------------------------
Eval num_timesteps=2860000, episode_reward=-0.31 +/- 0.00
Episode length: 409512.00 +/- 0.00
------------------------------------------
| eval/                   |              |
|    mean_ep_length       | 4.1e+05      |
|    mean_reward          | -0.311       |
| time/                   |              |
|    total_timesteps      | 2860000      |
| train/                  |              |
|    approx_kl            | 0.0016822184 |
|    clip_fraction        | 0.00118      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.24        |
|    explained_variance   | 0.00172      |
|    learning_rate        | 0.0001       |
|    loss                 | -0.27        |
|    n_updates            | 19860        |
|    policy_gradient_loss | -0.00274     |
|    std                  | 45.9         |
|    value_loss           | 6.05e-06     |
------------------------------------------
Eval num_timesteps=2860000, episode_reward=-0.31 +/- 0.00
Episode length: 409512.00 +/- 0.00
------------------------------------------
| eval/                   |              |
|    mean_ep_length       | 4.1e+05      |
|    mean_reward          | -0.311       |
| time/                   |              |
|    total_timesteps      | 2860000      |
| train/                  |              |
|    approx_kl            | 0.0016822184 |
|    clip_fraction        | 0.00118      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.24        |
|    explained_variance   | 0.00172      |
|    learning_rate        | 0.0001       |
|    loss                 | -0.27        |
|    n_updates            | 19860        |
|    policy_gradient_loss | -0.00274     |
|    std                  | 45.9         |
|    value_loss           | 6.05e-06     |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.69e+06 |
|    ep_rew_mean     | -1.08    |
| time/              |          |
|    fps             | 55       |
|    iterations      | 1987     |
|    time_elapsed    | 51136    |
|    total_timesteps | 2861280  |
---------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.69e+06 |
|    ep_rew_mean     | -1.08    |
| time/              |          |
|    fps             | 55       |
|    iterations      | 1987     |
|    time_elapsed    | 51136    |
|    total_timesteps | 2861280  |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.69e+06    |
|    ep_rew_mean          | -1.08       |
| time/                   |             |
|    fps                  | 55          |
|    iterations           | 1988        |
|    time_elapsed         | 51136       |
|    total_timesteps      | 2862720     |
| train/                  |             |
|    approx_kl            | 0.004161804 |
|    clip_fraction        | 0.0128      |
|    clip_range           | 0.25        |
|    entropy_loss         | -5.25       |
|    explained_variance   | 0.166       |
|    learning_rate        | 0.0001      |
|    loss                 | -0.265      |
|    n_updates            | 19870       |
|    policy_gradient_loss | -0.00278    |
|    std                  | 46          |
|    value_loss           | 1.83e-06    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.69e+06    |
|    ep_rew_mean          | -1.08       |
| time/                   |             |
|    fps                  | 55          |
|    iterations           | 1988        |
|    time_elapsed         | 51136       |
|    total_timesteps      | 2862720     |
| train/                  |             |
|    approx_kl            | 0.004161804 |
|    clip_fraction        | 0.0128      |
|    clip_range           | 0.25        |
|    entropy_loss         | -5.25       |
|    explained_variance   | 0.166       |
|    learning_rate        | 0.0001      |
|    loss                 | -0.265      |
|    n_updates            | 19870       |
|    policy_gradient_loss | -0.00278    |
|    std                  | 46          |
|    value_loss           | 1.83e-06    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.69e+06    |
|    ep_rew_mean          | -1.08       |
| time/                   |             |
|    fps                  | 56          |
|    iterations           | 1989        |
|    time_elapsed         | 51136       |
|    total_timesteps      | 2864160     |
| train/                  |             |
|    approx_kl            | 0.002819761 |
|    clip_fraction        | 0.0114      |
|    clip_range           | 0.25        |
|    entropy_loss         | -5.25       |
|    explained_variance   | -0.00161    |
|    learning_rate        | 0.0001      |
|    loss                 | -0.275      |
|    n_updates            | 19880       |
|    policy_gradient_loss | -0.00419    |
|    std                  | 46          |
|    value_loss           | 1.66e-06    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.69e+06    |
|    ep_rew_mean          | -1.08       |
| time/                   |             |
|    fps                  | 56          |
|    iterations           | 1989        |
|    time_elapsed         | 51136       |
|    total_timesteps      | 2864160     |
| train/                  |             |
|    approx_kl            | 0.002819761 |
|    clip_fraction        | 0.0114      |
|    clip_range           | 0.25        |
|    entropy_loss         | -5.25       |
|    explained_variance   | -0.00161    |
|    learning_rate        | 0.0001      |
|    loss                 | -0.275      |
|    n_updates            | 19880       |
|    policy_gradient_loss | -0.00419    |
|    std                  | 46          |
|    value_loss           | 1.66e-06    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.69e+06    |
|    ep_rew_mean          | -1.08       |
| time/                   |             |
|    fps                  | 56          |
|    iterations           | 1990        |
|    time_elapsed         | 51136       |
|    total_timesteps      | 2865600     |
| train/                  |             |
|    approx_kl            | 0.006241761 |
|    clip_fraction        | 0.0198      |
|    clip_range           | 0.25        |
|    entropy_loss         | -5.25       |
|    explained_variance   | 0.169       |
|    learning_rate        | 0.0001      |
|    loss                 | -0.272      |
|    n_updates            | 19890       |
|    policy_gradient_loss | -0.00424    |
|    std                  | 46.1        |
|    value_loss           | 2.2e-06     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.69e+06    |
|    ep_rew_mean          | -1.08       |
| time/                   |             |
|    fps                  | 56          |
|    iterations           | 1990        |
|    time_elapsed         | 51136       |
|    total_timesteps      | 2865600     |
| train/                  |             |
|    approx_kl            | 0.006241761 |
|    clip_fraction        | 0.0198      |
|    clip_range           | 0.25        |
|    entropy_loss         | -5.25       |
|    explained_variance   | 0.169       |
|    learning_rate        | 0.0001      |
|    loss                 | -0.272      |
|    n_updates            | 19890       |
|    policy_gradient_loss | -0.00424    |
|    std                  | 46.1        |
|    value_loss           | 2.2e-06     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1991         |
|    time_elapsed         | 51136        |
|    total_timesteps      | 2867040      |
| train/                  |              |
|    approx_kl            | 0.0018688176 |
|    clip_fraction        | 0.00347      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.25        |
|    explained_variance   | 0.103        |
|    learning_rate        | 0.0001       |
|    loss                 | -0.27        |
|    n_updates            | 19900        |
|    policy_gradient_loss | -0.00352     |
|    std                  | 46.1         |
|    value_loss           | 1.73e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1991         |
|    time_elapsed         | 51136        |
|    total_timesteps      | 2867040      |
| train/                  |              |
|    approx_kl            | 0.0018688176 |
|    clip_fraction        | 0.00347      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.25        |
|    explained_variance   | 0.103        |
|    learning_rate        | 0.0001       |
|    loss                 | -0.27        |
|    n_updates            | 19900        |
|    policy_gradient_loss | -0.00352     |
|    std                  | 46.1         |
|    value_loss           | 1.73e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1992         |
|    time_elapsed         | 51137        |
|    total_timesteps      | 2868480      |
| train/                  |              |
|    approx_kl            | 0.0011040447 |
|    clip_fraction        | 0.00104      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.25        |
|    explained_variance   | 0.0963       |
|    learning_rate        | 0.0001       |
|    loss                 | -0.265       |
|    n_updates            | 19910        |
|    policy_gradient_loss | -0.00154     |
|    std                  | 46.3         |
|    value_loss           | 1.8e-06      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1992         |
|    time_elapsed         | 51137        |
|    total_timesteps      | 2868480      |
| train/                  |              |
|    approx_kl            | 0.0011040447 |
|    clip_fraction        | 0.00104      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.25        |
|    explained_variance   | 0.0963       |
|    learning_rate        | 0.0001       |
|    loss                 | -0.265       |
|    n_updates            | 19910        |
|    policy_gradient_loss | -0.00154     |
|    std                  | 46.3         |
|    value_loss           | 1.8e-06      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1993         |
|    time_elapsed         | 51137        |
|    total_timesteps      | 2869920      |
| train/                  |              |
|    approx_kl            | 0.0032062763 |
|    clip_fraction        | 0.00715      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.25        |
|    explained_variance   | 0.0216       |
|    learning_rate        | 0.0001       |
|    loss                 | -0.27        |
|    n_updates            | 19920        |
|    policy_gradient_loss | -0.00416     |
|    std                  | 46.4         |
|    value_loss           | 1.95e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1993         |
|    time_elapsed         | 51137        |
|    total_timesteps      | 2869920      |
| train/                  |              |
|    approx_kl            | 0.0032062763 |
|    clip_fraction        | 0.00715      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.25        |
|    explained_variance   | 0.0216       |
|    learning_rate        | 0.0001       |
|    loss                 | -0.27        |
|    n_updates            | 19920        |
|    policy_gradient_loss | -0.00416     |
|    std                  | 46.4         |
|    value_loss           | 1.95e-06     |
------------------------------------------
Eval num_timesteps=2870000, episode_reward=-0.23 +/- 0.00
Episode length: 409512.00 +/- 0.00
------------------------------------------
| eval/                   |              |
|    mean_ep_length       | 4.1e+05      |
|    mean_reward          | -0.226       |
| time/                   |              |
|    total_timesteps      | 2870000      |
| train/                  |              |
|    approx_kl            | 0.0016046464 |
|    clip_fraction        | 0.00271      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.26        |
|    explained_variance   | 0.0409       |
|    learning_rate        | 0.0001       |
|    loss                 | -0.269       |
|    n_updates            | 19930        |
|    policy_gradient_loss | -0.00175     |
|    std                  | 46.4         |
|    value_loss           | 3.04e-06     |
------------------------------------------
Eval num_timesteps=2870000, episode_reward=-0.23 +/- 0.00
Episode length: 409512.00 +/- 0.00
------------------------------------------
| eval/                   |              |
|    mean_ep_length       | 4.1e+05      |
|    mean_reward          | -0.226       |
| time/                   |              |
|    total_timesteps      | 2870000      |
| train/                  |              |
|    approx_kl            | 0.0016046464 |
|    clip_fraction        | 0.00271      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.26        |
|    explained_variance   | 0.0409       |
|    learning_rate        | 0.0001       |
|    loss                 | -0.269       |
|    n_updates            | 19930        |
|    policy_gradient_loss | -0.00175     |
|    std                  | 46.4         |
|    value_loss           | 3.04e-06     |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.69e+06 |
|    ep_rew_mean     | -1.08    |
| time/              |          |
|    fps             | 55       |
|    iterations      | 1994     |
|    time_elapsed    | 51315    |
|    total_timesteps | 2871360  |
---------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.69e+06 |
|    ep_rew_mean     | -1.08    |
| time/              |          |
|    fps             | 55       |
|    iterations      | 1994     |
|    time_elapsed    | 51315    |
|    total_timesteps | 2871360  |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 55           |
|    iterations           | 1995         |
|    time_elapsed         | 51315        |
|    total_timesteps      | 2872800      |
| train/                  |              |
|    approx_kl            | 0.0026433205 |
|    clip_fraction        | 0.0126       |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.26        |
|    explained_variance   | -0.0172      |
|    learning_rate        | 0.0001       |
|    loss                 | -0.269       |
|    n_updates            | 19940        |
|    policy_gradient_loss | -0.00315     |
|    std                  | 46.5         |
|    value_loss           | 3.78e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 55           |
|    iterations           | 1995         |
|    time_elapsed         | 51315        |
|    total_timesteps      | 2872800      |
| train/                  |              |
|    approx_kl            | 0.0026433205 |
|    clip_fraction        | 0.0126       |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.26        |
|    explained_variance   | -0.0172      |
|    learning_rate        | 0.0001       |
|    loss                 | -0.269       |
|    n_updates            | 19940        |
|    policy_gradient_loss | -0.00315     |
|    std                  | 46.5         |
|    value_loss           | 3.78e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1996         |
|    time_elapsed         | 51315        |
|    total_timesteps      | 2874240      |
| train/                  |              |
|    approx_kl            | 0.0031088039 |
|    clip_fraction        | 0.00569      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.26        |
|    explained_variance   | -0.00571     |
|    learning_rate        | 0.0001       |
|    loss                 | -0.268       |
|    n_updates            | 19950        |
|    policy_gradient_loss | -0.00324     |
|    std                  | 46.6         |
|    value_loss           | 4.43e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1996         |
|    time_elapsed         | 51315        |
|    total_timesteps      | 2874240      |
| train/                  |              |
|    approx_kl            | 0.0031088039 |
|    clip_fraction        | 0.00569      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.26        |
|    explained_variance   | -0.00571     |
|    learning_rate        | 0.0001       |
|    loss                 | -0.268       |
|    n_updates            | 19950        |
|    policy_gradient_loss | -0.00324     |
|    std                  | 46.6         |
|    value_loss           | 4.43e-06     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.69e+06    |
|    ep_rew_mean          | -1.08       |
| time/                   |             |
|    fps                  | 56          |
|    iterations           | 1997        |
|    time_elapsed         | 51316       |
|    total_timesteps      | 2875680     |
| train/                  |             |
|    approx_kl            | 0.002904983 |
|    clip_fraction        | 0.00688     |
|    clip_range           | 0.25        |
|    entropy_loss         | -5.26       |
|    explained_variance   | 0.00175     |
|    learning_rate        | 0.0001      |
|    loss                 | -0.266      |
|    n_updates            | 19960       |
|    policy_gradient_loss | -0.00193    |
|    std                  | 46.7        |
|    value_loss           | 3.51e-06    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.69e+06    |
|    ep_rew_mean          | -1.08       |
| time/                   |             |
|    fps                  | 56          |
|    iterations           | 1997        |
|    time_elapsed         | 51316       |
|    total_timesteps      | 2875680     |
| train/                  |             |
|    approx_kl            | 0.002904983 |
|    clip_fraction        | 0.00688     |
|    clip_range           | 0.25        |
|    entropy_loss         | -5.26       |
|    explained_variance   | 0.00175     |
|    learning_rate        | 0.0001      |
|    loss                 | -0.266      |
|    n_updates            | 19960       |
|    policy_gradient_loss | -0.00193    |
|    std                  | 46.7        |
|    value_loss           | 3.51e-06    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1998         |
|    time_elapsed         | 51316        |
|    total_timesteps      | 2877120      |
| train/                  |              |
|    approx_kl            | 0.0018647753 |
|    clip_fraction        | 0.00319      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.26        |
|    explained_variance   | -0.0513      |
|    learning_rate        | 0.0001       |
|    loss                 | -0.269       |
|    n_updates            | 19970        |
|    policy_gradient_loss | -0.00255     |
|    std                  | 46.8         |
|    value_loss           | 7.52e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1998         |
|    time_elapsed         | 51316        |
|    total_timesteps      | 2877120      |
| train/                  |              |
|    approx_kl            | 0.0018647753 |
|    clip_fraction        | 0.00319      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.26        |
|    explained_variance   | -0.0513      |
|    learning_rate        | 0.0001       |
|    loss                 | -0.269       |
|    n_updates            | 19970        |
|    policy_gradient_loss | -0.00255     |
|    std                  | 46.8         |
|    value_loss           | 7.52e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1999         |
|    time_elapsed         | 51316        |
